College ID	Branch Code	Branch Name	Approved Intake	Year of starting course	NBA Accredited	Accredition Valid upto
1322	ME	Mechanical Engineering	180	2004	No	-
1323	CE	Civil Engineering	60	2010	No	-
1323	CS	Computer science and engineering	60	2008	No	-
1323	EE	Electrical and Electronics Engineering	60	2008	No	-
1323	EC	Electronics and Communication	120	2008	No	-
1323	ME	Mechanical Engineering	120	2009	No	-
1324	CE	Civil Engineering	60	2013	No	-
1324	CS	Computer science and engineering	120	2008	No	-
1324	EE	Electrical and Electronics Engineering	120	2008	No	-
1324	EC	Electronics and Communication	120	2008	No	-
1324	IT	Information Technology	120	2008	No	-
1324	ME	Mechanical Engineering	120	2011	No	-
1325	CE	Civil Engineering	120	2011	No	-
1325	CS	Computer science and engineering	60	2008	No	-
1325	EE	Electrical and Electronics Engineering	60	2008	No	-
1325	EC	Electronics and Communication	120	2008	No	-
1325	IT	Information Technology	60	2008	No	-
1325	ME	Mechanical Engineering	120	2009	No	-
1326	CS	Computer science and engineering	60	2008	No	-
1326	EE	Electrical and Electronics Engineering	60	2008	No	-
1326	EC	Electronics and Communication	120	2008	No	-
1326	ME	Mechanical Engineering	120	2009	No	-
